ID,Prob1
0, 0.33
1, 0.31
2, 0.16
3, 0.16
4, 0.28
5, 0.21
6, 0.25
7, 0.21
8, 0.33
9, 0.31
10, 0.31
11, 0.25
12, 0.16
13, 0.54
14, 0.29
15, 0.47
16, 0.21
17, 0.71
18, 0.33
19, 0.16
20, 0.45
21, 0.38
22, 0.16
23, 0.27
24, 0.25
25, 0.40
26, 0.38
27, 0.21
28, 0.21
29, 0.26
30, 0.29
31, 0.27
32, 0.22
33, 0.31
34, 0.40
35, 0.32
36, 0.25
37, 0.22
38, 0.36
39, 0.25
40, 0.21
41, 0.47
42, 0.16
43, 0.36
44, 0.38
45, 0.29
46, 0.58
47, 0.29
48, 0.31
49, 0.38
50, 0.21
51, 0.26
52, 0.66
53, 0.12
54, 0.29
55, 0.21
56, 0.09
57, 0.29
58, 0.36
59, 0.21
60, 0.22
61, 0.21
62, 0.31
63, 0.34
64, 0.31
65, 0.26
66, 0.33
67, 0.62
68, 0.21
69, 0.54
70, 0.38
71, 0.31
72, 0.29
73, 0.31
74, 0.46
75, 0.31
76, 0.38
77, 0.38
78, 0.40
79, 0.26
80, 0.36
81, 0.55
82, 0.38
83, 0.38
84, 0.26
85, 0.32
86, 0.45
87, 0.45
88, 0.29
89, 0.09
90, 0.26
91, 0.25
92, 0.29
93, 0.71
94, 0.22
95, 0.35
96, 0.08
97, 0.29
98, 0.26
99, 0.38
100, 0.71
101, 0.27
102, 0.26
103, 0.38
104, 0.21
105, 0.45
106, 0.21
107, 0.57
108, 0.47
109, 0.21
110, 0.25
111, 0.31
112, 0.80
113, 0.16
114, 0.38
115, 0.22
116, 0.22
117, 0.57
118, 0.45
119, 0.31
120, 0.51
121, 0.28
122, 0.28
123, 0.31
124, 0.21
125, 0.28
126, 0.47
127, 0.72
128, 0.49
129, 0.59
130, 0.22
131, 0.26
132, 0.27
133, 0.44
134, 0.38
135, 0.55
136, 0.38
137, 0.41
138, 0.16
139, 0.51
140, 0.32
141, 0.21
142, 0.64
143, 0.16
144, 0.40
145, 0.29
146, 0.55
147, 0.38
148, 0.16
149, 0.27
150, 0.39
151, 0.71
152, 0.31
153, 0.38
154, 0.26
155, 0.21
156, 0.26
157, 0.27
158, 0.39
159, 0.47
160, 0.60
161, 0.25
162, 0.39
163, 0.39
164, 0.59
165, 0.16
166, 0.21
167, 0.16
168, 0.29
169, 0.26
170, 0.51
171, 0.38
172, 0.28
173, 0.27
174, 0.29
175, 0.33
176, 0.71
177, 0.16
178, 0.31
179, 0.22
180, 0.72
181, 0.07
182, 0.34
183, 0.21
184, 0.29
185, 0.38
186, 0.27
187, 0.21
188, 0.39
189, 0.21
190, 0.16
191, 0.59
192, 0.29
193, 0.61
194, 0.26
195, 0.32
196, 0.29
197, 0.38
198, 0.71
199, 0.41
200, 0.16
201, 0.31
202, 0.16
203, 0.41
204, 0.22
205, 0.16
206, 0.22
207, 0.21
208, 0.29
209, 0.29
210, 0.49
211, 0.29
212, 0.60
213, 0.22
214, 0.29
215, 0.16
216, 0.54
217, 0.51
218, 0.41
219, 0.64
220, 0.38
221, 0.16
222, 0.53
223, 0.41
224, 0.38
225, 0.21
226, 0.80
227, 0.20
228, 0.39
229, 0.43
230, 0.45
231, 0.49
232, 0.29
233, 0.07
234, 0.21
235, 0.29
236, 0.25
237, 0.09
238, 0.26
239, 0.29
240, 0.08
241, 0.16
242, 0.47
243, 0.64
244, 0.16
245, 0.38
246, 0.49
247, 0.34
248, 0.34
249, 0.33
250, 0.34
251, 0.72
252, 0.35
253, 0.16
254, 0.26
255, 0.17
256, 0.71
257, 0.22
258, 0.34
259, 0.71
260, 0.25
261, 0.33
262, 0.21
263, 0.26
264, 0.62
265, 0.34
266, 0.16
267, 0.22
268, 0.34
269, 0.20
270, 0.22
271, 0.35
272, 0.31
273, 0.26
274, 0.66
275, 0.35
276, 0.21
277, 0.26
278, 0.39
279, 0.39
280, 0.29
281, 0.26
282, 0.38
283, 0.21
284, 0.40
285, 0.49
286, 0.21
287, 0.21
288, 0.33
289, 0.21
290, 0.64
291, 0.16
292, 0.29
293, 0.27
294, 0.29
295, 0.29
296, 0.31
297, 0.33
298, 0.77
299, 0.39
300, 0.25
301, 0.22
302, 0.41
303, 0.27
304, 0.21
305, 0.16
306, 0.21
307, 0.22
308, 0.27
309, 0.28
310, 0.25
311, 0.29
312, 0.25
313, 0.29
314, 0.59
315, 0.34
316, 0.16
317, 0.33
318, 0.32
